Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Recommended age group (product.metafields.shopify.recommended-age-group),Toy/Game material (product.metafields.shopify.toy-game-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
inflatable-stack-of-chips,Inflatable Stack of Chips,"<p><span data-mce-fragment=""1"">Our 5-foot tall inflatable stack of casino chips! Add a touch of Vegas glamour to your event with this vibrant and eye-catching display. Whether you're hosting a casino night, fundraiser, or themed party, our inflatable stack of casino chips is sure to dazzle your guests. Light up the atmosphere and create unforgettable memories – book now!</span></p>
<p><span data-mce-fragment=""1"">Available in different colors</span></p>",Giant Promotions Online Store,,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/5_TallInflatableChips.jpg?v=1713477711,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
inflatable-stack-of-chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/5_TallInflatableChips_Green.jpg?v=1713477711,2,"",,,,,,,,,,,,,,,,,,,,,,,
inflatable-roulette-wheel,Inflatable Roulette Wheel,"<span data-mce-fragment=""1"">Introducing our 5-foot diameter inflatable roulette wheel display – the perfect addition to any casino-themed event! This eye-catching centerpiece adds a touch of excitement and authenticity to your party or promotional event. With its vibrant colors and attention-grabbing design, our inflatable roulette wheel is sure to be a hit with guests of all ages. Elevate your event to the next level – book now!</span>",Giant Promotions Online Store,,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/5_DiameterInflatableRouletteWheel.jpg?v=1713477608,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
silverback-gorilla,Silverback Gorilla,"<span data-mce-fragment=""1"">Introducing our show-stopping 20-foot tall Silverback Gorilla inflatable rental! Make a colossal statement at your next event with this impressive centerpiece that's sure to turn heads. Perfect for parties, promotions, or any occasion where you want to make a big impact. Book now and unleash the wild fun</span>",Giant Promotions Online Store,,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/InflatableGorilla.jpg?v=1713476001,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
silverback-gorilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/InflatableGorillaSilverback.jpg?v=1713476000,2,"",,,,,,,,,,,,,,,,,,,,,,,
silverback-gorilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/InflatableSilverbackGorilla.jpg?v=1713476001,3,"",,,,,,,,,,,,,,,,,,,,,,,
white-throne,White Throne,"<span data-mce-fragment=""1"">This unique and stylish chair is perfect for any occasion, from weddings to corporate events.</span>",Giant Promotions Online Store,,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/loveseat_gold__46899.png?v=1700661164,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
dance-floor-black,Dance Floor - Black,"<p><span data-mce-fragment=""1"">The Slate Black Dance Floor system combines excellent quality and a neutral appearance perfect for events, weddings, parties, residential spaces, and commercial spaces.</span></p>
<p><span data-mce-fragment=""1"">Available in different sizes.</span></p>",Giant Promotions Online Store,,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/slate-black-plus-21x21-1-800x450.png?v=1698953874,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
dance-floor-teak,Dance Floor - Teak,"<p><span data-mce-fragment=""1"">In addition to parties and events, the teak style flooring is perfect for walkways and other high-traffic areas.</span></p>
<p><span data-mce-fragment=""1"">Available in different sizes.</span></p>",Giant Promotions Online Store,,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/teak-classic-9x9-1-800x450.png?v=1698953723,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
large-marquee-letters,Large Marquee Letters,<p>Elevate your next event with the captivating charm of our Marquee Lettering set! Let our Marquee Letters bring an extra touch of sophistication and visual appeal to your special occasion.</p>,Giant Promotions,Arts & Entertainment,Marquee Letters,"advertising, ANNIVERSARY, backdrops, birthday, birthday party, booth, business, canadian, carnival, Casino, chinese new year, Christmas, cocktail, community, custom, customize, dance, dance party, dartmouth, decorations, equipment, events, fantasy, festival, fundraiser, graduation, halifax, holiday, indoor, lighting, magical, marketing, marquee, marquee letters, marquee sign, mobile, movie night, movies, nova scotia, party, photo op, photography, portable, prom, promotions, props, red carpet, rental, rentals, retail, retirement party, retro, sales, santa claus, school, screening, summer, theater, vendors, wedding, winter",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/classmarqueeletters.jpg?v=1696531112,1,"",false,,Elevate your next event with the captivating charm of our Marquee Lettering set! Let our Marquee Letters bring an extra touch of sophistication and visual appeal to your special occasion.,,,,,,,,,,,,,,,,,kg,,,active
large-marquee-letters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/marrymemarqueeletters.jpg?v=1696531112,2,"",,,,,,,,,,,,,,,,,,,,,,,
progress-pride-flag-arch-inflatable,Progress Pride Flag Arch Inflatable,"<p data-mce-fragment=""1"">Be seen and stand out with this Progress Pride Flag Arch Inflatable. Perfect for creating a powerful statement at your next pride parade or party, our inflatable arch will show the world just how far we've come in the fight for equality. Add a burst of rainbow to the scene – guaranteed to make a splashing impression! </p>",Giant Promotions,Arts & Entertainment,Archway,"advertising, ANNIVERSARY, arches, archway, backyard, bbq, beach, billboard, birthday, birthday party, booth, branding, business, canadian, carnival, cocktail, community, competition, custom, customize, dance, dance party, dartmouth, decorations, equipment, events, festival, FRONT YARD, fundraiser, games, halifax, holiday, inflatable, LAWN, marketing, mobile, nova scotia, outdoor, party, photo op, play, portable, pride, pride flag, pride parade, prom, promotions, props, rainbow, rally, rental, rentals, retail, school, storefront, summer, vendors, wedding",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,false,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/progressprideinflatablearch.jpg?v=1689610093,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
cocktail-tables,Cocktail Tables,"<p><span>The 36"" Round Table Plywood Pedestal Table is great for hospitality venues, celebrations, hotel dining spaces, bars, and more!</span></p>
<p><span>Spandex Black Table Covers are available.<br></span></p>
<p><span>Size is 36"" Diameter X 42"" High</span></p>",Giant Promotions Online Store,Furniture,table,"baby shower, birthday, birthday party, canadian, car dealership, carnival, Casino, Christmas, cocktail, custom, dance party, events, graduation, halifax, holiday, indoor, marketing, nova scotia, outdoor, party, photography, portable, promotions, rental, rentals, school, sports, tables, wedding",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/CocktailTables.webp?v=1683567587,1,"",false,,"The 36"" Round Table Plywood Pedestal Table is great for hospitality venues, celebrations, hotel dining spaces, bars, and more!",,,,,,,,,,,,,,,,,kg,,,active
cocktail-tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/EDD-SPX-HI36-BLK-01.jpg?v=1683567587,2,"",,,,,,,,,,,,,,,,,,,,,,,
flower-backdrop,3D Flower Backdrop,"<p><span>Our flower backdrops are perfect for adding a touch of natural beauty to any event or photoshoot. Each backdrop is carefully crafted from high-quality silk flowers and foliage, arranged to create a stunning and realistic display. Whether you're looking for a romantic backdrop for a wedding, a vibrant display for a corporate event, or a whimsical setting for a photoshoot, we have the perfect flower backdrop for you.</span></p>
<p>Available in Red and White flowers.</p>",Giant Promotions Online Store,Arts & Entertainment,photo backdrop,"advertising, baby shower, birthday, birthday party, booth, branding, business, canadian, car dealership, carnival, Casino, Christmas, cocktail, dance party, dartmouth, Easter, events, fantasy, flowers, fundraiser, graduation, halifax, holiday, indoor, magical, marketing, nova scotia, outdoor, party, photo booth, photography, portable, promotions, rental, rentals, retail, school, wedding",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/RedFlowers.webp?v=1683567148,1,"",false,,"Our flower backdrops are perfect for adding a touch of natural beauty to any event or photoshoot. Each backdrop is carefully crafted from high-quality silk flowers and foliage, arranged to create a stunning and realistic display. Whether you're looking for a romantic backdrop for a wedding, a vibrant display for a corporate event, or a whimsical setting for a photoshoot, we have the perfect flower backdrop for you.",,,,,,,,,,,,,,,,,kg,,,active
flower-backdrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/WhiteFlowers.webp?v=1683567148,2,"",,,,,,,,,,,,,,,,,,,,,,,
backdrops,Tension Fabric Backdrops,"<p><span>Welcome to our collection of stunning 8ft x 8ft tension fabric backdrops! Whether you're looking to make a big impact at your next trade show, event, or photoshoot, our backdrops are the perfect solution. Made from high-quality stretch fabric, our backdrops provide a sleek, wrinkle-free display that will showcase your brand or message with clarity and style</span></p>",Giant Promotions Online Store,Cameras & Optics > Photography,backdrop,"360 photo booth, birthday party, canadian, car dealership, carnival, events, halifax, indoor, marketing, nova scotia, party, photo booth, photography, portable, promotions, rental, rentals, school, sports, wedding",true,Style,Silver Sequin,,,,,,,,"",0.0,,continue,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/Boxwood_Heart-01_900x_ca8485dc-3934-402c-b0b5-371d548464d2.webp?v=1683566343,1,"",false,,"Welcome to our collection of stunning 8ft x 8ft tension fabric backdrops! Whether you're looking to make a big impact at your next trade show, event, or photoshoot, our backdrops are the perfect solution.",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/Silver_Sequin-01_900x_3766833f-1a9c-4637-8d2a-33e351c730d9.webp?v=1683566344,kg,,,active
backdrops,,,,,,,,,Wood with Ornaments,,,,,,,,"",0.0,,continue,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/Christmas_Flakes-01_900x_075dd5c5-1604-4391-a02c-f5278b90e5c3.webp?v=1683566344,2,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/Wood_w_Ornaments-01_900x_a70778d0-2c1b-4d0f-9a99-ee9bdf09b958.webp?v=1683566344,kg,,,
backdrops,,,,,,,,,Gold Sparkle,,,,,,,,"",0.0,,continue,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/Diplomas-01_900x_383ff9ae-fcfb-40a0-8c9f-34e87b03314a.webp?v=1683566343,3,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/Gold_Glitter-01_900x_1a5c7986-11b6-45c2-b1c2-7dcc9dce5e08.webp?v=1683566344,kg,,,
backdrops,,,,,,,,,LED Lights,,,,,,,,"",0.0,,continue,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/Easter_Blue-01_900x_a543fd0e-68c1-49b8-a7ce-78187a60ce0b.webp?v=1683566343,4,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/LED_Lights-01_900x_e40bb853-e0b6-47c3-b276-1267860bac03.webp?v=1683566343,kg,,,
backdrops,,,,,,,,,Hollywood,,,,,,,,"",0.0,,continue,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/Gold_Glitter-01_900x_1a5c7986-11b6-45c2-b1c2-7dcc9dce5e08.webp?v=1683566344,5,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/Hollywood-01_900x_98c6ca67-67f8-4c2a-8e83-5c4ed47b8a46.webp?v=1683566345,kg,,,
backdrops,,,,,,,,,Heart Sparkles,,,,,,,,"",0.0,,continue,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/Gold_Sparkle-01_900x_f5038ace-690b-4ed2-a3c3-7210c55f01c2.webp?v=1683566343,6,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/Heart_Sparkles-01_900x_372bf454-fd71-4e59-935b-88a98ff74d79.webp?v=1683566344,kg,,,
backdrops,,,,,,,,,Christmas Flakes,,,,,,,,"",0.0,,continue,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/Grass_Wall-01_900x_93848f50-f39b-4f88-ab08-1ec3662fee05.webp?v=1683566343,7,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/Christmas_Flakes-01_900x_075dd5c5-1604-4391-a02c-f5278b90e5c3.webp?v=1683566344,kg,,,
backdrops,,,,,,,,,Boxwood Heart,,,,,,,,"",0.0,,continue,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/Heart_Sparkles-01_900x_372bf454-fd71-4e59-935b-88a98ff74d79.webp?v=1683566344,8,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/Boxwood_Heart-01_900x_ca8485dc-3934-402c-b0b5-371d548464d2.webp?v=1683566343,kg,,,
backdrops,,,,,,,,,Love Letters,,,,,,,,"",0.0,,continue,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/Hollywood-01_900x_98c6ca67-67f8-4c2a-8e83-5c4ed47b8a46.webp?v=1683566345,9,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/Love_Letters-01_900x_87c1c465-ad67-4752-8c65-2e3850a7dd3d.webp?v=1683566343,kg,,,
backdrops,,,,,,,,,Graduation Diplomas and Hats,,,,,,,,"",0.0,,continue,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/LED_Lights-01_900x_e40bb853-e0b6-47c3-b276-1267860bac03.webp?v=1683566343,10,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/Diplomas-01_900x_383ff9ae-fcfb-40a0-8c9f-34e87b03314a.webp?v=1683566343,kg,,,
backdrops,,,,,,,,,Wood with 2 Light Strings,,,,,,,,"",0.0,,continue,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/Love_Letters-01_900x_87c1c465-ad67-4752-8c65-2e3850a7dd3d.webp?v=1683566343,11,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/Wood_with_Two_String_Lights-01_900x_04ec8758-4e96-451a-8196-8764e8a93f19.webp?v=1683566344,kg,,,
backdrops,,,,,,,,,Boxwood,,,,,,,,"",0.0,,continue,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/Silver_Sequin-01_900x_3766833f-1a9c-4637-8d2a-33e351c730d9.webp?v=1683566344,12,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/Grass_Wall-01_900x_93848f50-f39b-4f88-ab08-1ec3662fee05.webp?v=1683566343,kg,,,
backdrops,,,,,,,,,Easter,,,,,,,,"",0.0,,continue,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/Wood_w_Ornaments-01_900x_a70778d0-2c1b-4d0f-9a99-ee9bdf09b958.webp?v=1683566344,13,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/Easter_Blue-01_900x_a543fd0e-68c1-49b8-a7ce-78187a60ce0b.webp?v=1683566343,kg,,,
backdrops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/Wood_with_Two_String_Lights-01_900x_04ec8758-4e96-451a-8196-8764e8a93f19.webp?v=1683566344,14,"",,,,,,,,,,,,,,,,,,,,,,,
360-photo-booth,Portable 360 Photo Booth,"<p><span>Step up your event game with our cutting-edge 360 photo booth! Our unique photo booth experience allows your guests to capture stunning 360-degree photos and videos. Customizable branding options are included. Plus we offer a range of fun props and backgrounds. It is perfect for weddings, corporate events, and parties of all kinds. Create </span>memories that will last a lifetime. </p>",Giant Promotions Online Store,Cameras & Optics > Photography,photo booth,"360 photo booth, advertising, birthday party, carnival, Casino, Christmas, dance party, events, halifax, holiday, indoor, marketing, nova scotia, party, photo booth, photography, portable, promotions, rental, rentals, school, sports, wedding",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/360-photo-booth-base.webp?v=1683569876,1,image of a circular base for a 360 degree photo booth,false,,Step up your event game with our cutting-edge 360 photo booth! Our unique photo booth experience allows your guests to capture stunning 360-degree photos and videos.,,,,,,,,,,,,,,,,,kg,,,active
ez-up-pop-up-tents,EZ-UP Pop Up Tents,"<p><span>Our tents are easy to set up and take down, making them the perfect choice for weddings, farmers markets, craft fairs, and more. With a variety of sizes to choose from, our tents will keep your guests comfortable and protected from the sun and rain.</span></p>
<p><span>Available Sizes: </span></p>
<ul>
<li><span>10x10</span></li>
<li><span>10x15</span></li>
<li><span>10x20</span></li>
</ul>
<p>We do offer bigger size <a href=""https://giantpro.com/products/high-peak-frame-tents"">Commercial Tents</a></p>",Giant Promotions Online Store,Sporting Goods > Outdoor Recreation > Camping & Hiking > Tents,Tents,"advertising, baby shower, beach, billboard, birthday, birthday party, booth, branding, business, canadian, car dealership, carnival, dartmouth, Easter, events, fundraiser, graduation, halifax, halloween, hockey, holiday, marketing, mobile, nova scotia, outdoor, party, portable, promotions, rally, rental, rentals, retail, school, sports, storefront, tables, tent, vendors, wedding",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/Popuptents.jpg?v=1683313791,1,"",false,,"Stay protected from the elements with our EZ-UP tent rentals! Perfect for outdoor events of all kinds, our tents are easy to set up and we offer 3 different sizes to fit your needs and budget.",,,,,,,,,,,,,,,,,kg,,,active
